#№	Код ASCII	Код Unicode	Выява	Назва па-англійску	Назва па-беларуску	Назва па-руску	Код Морзе	.
98	62	U+0062	b	LATIN SMALL LETTER B	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА БІ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА БИ	-***	.
99	63	U+0063	c	LATIN SMALL LETTER C	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА СІ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА СИ	-*-*	.
100	64	U+0064	d	LATIN SMALL LETTER D	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ДЗІ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ДИ	-**	.
101	65	U+0065	e	LATIN SMALL LETTER E	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА І	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА И	*	.
102	66	U+0066	f	LATIN SMALL LETTER F	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ЭФ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ЭФ	**-*	.
103	67	U+0067	g	LATIN SMALL LETTER G	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ДЖЫ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ДЖИ	--*	.
104	68	U+0068	h	LATIN SMALL LETTER H	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ЭЙЧ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ЭЙЧ	****	.
105	69	U+0069	i	LATIN SMALL LETTER I	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА АЙ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА АЙ	**	.
106	6A	U+006A	j	LATIN SMALL LETTER J	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ДЖЭЙ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ДЖЕЙ	*---	.
107	6B	U+006B	k	LATIN SMALL LETTER K	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА КЕЙ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА КЕЙ	-*-	.
108	6C	U+006C	l	LATIN SMALL LETTER L	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ЭЛЬ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ЭЛЬ	*-**	.
109	6D	U+006D	m	LATIN SMALL LETTER M	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ЭМ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ЭМ	--	.
110	6E	U+006E	n	LATIN SMALL LETTER N	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ЭН	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ЭН	-*	.
111	6F	U+006F	o	LATIN SMALL LETTER O	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ОЎ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ОУ	---	.
112	70	U+0070	p	LATIN SMALL LETTER P	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ПІ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ПИ	*--*	.
113	71	U+0071	q	LATIN SMALL LETTER Q	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА К’Ю	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА КЬЮ	--*-	.
114	72	U+0072	r	LATIN SMALL LETTER R	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА АР	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА АР	*-*	.
115	73	U+0073	s	LATIN SMALL LETTER S	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ЭС	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ЭС	***	.
116	74	U+0074	t	LATIN SMALL LETTER T	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ЦІ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ТИ	-	.
117	75	U+0075	u	LATIN SMALL LETTER U	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА Ю	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА Ю	**-	.
118	76	U+0076	v	LATIN SMALL LETTER V	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ВІ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ВИ	***-	.
119	77	U+0077	w	LATIN SMALL LETTER W	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ДАБЛ'Ю	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ДАБЛ-Ю	*--	.
120	78	U+0078	x	LATIN SMALL LETTER X	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ЭКС	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ЭКС	-**-	.
121	79	U+0079	y	LATIN SMALL LETTER Y	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ЎАЙ	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА УАЙ	-*--	.
122	7A	U+007A	z	LATIN SMALL LETTER Z	ЛАЦІНСКАЯ МАЛАЯ ЛІТАРА ЗЭД	ЛАТИНСКАЯ МАЛЕНЬКАЯ БУКВА ЗЭД	--**	.
